id,innovation_day_id,name,description,responsable,fragments,is_completed
10000,100,Responsable Team,Responsable Team,responsabe@mail.com,0,0
10001,100,team0001,Group0001,slot@mail.com,0,0
10002,100,team0002,Group0002,slot@mail.com,0,0
10003,100,team0003,Group0003,slot@mail.com,0,0
10004,100,team0004,Group0004,slot@mail.com,0,0
10005,100,team0005,Group0005,slot@mail.com,0,0
10006,100,team0006,Group0006,slot@mail.com,0,0
10007,100,team0007,Group0007,slot@mail.com,0,0
10008,100,team0008,Group0008,slot@mail.com,0,0
10009,100,team0009,Group0009,slot@mail.com,0,0
10010,100,team0010,Group0010,slot@mail.com,0,0
